Number xind yind east north data err wgt Elos Nlos Ulos
 263 1647 1495 85.37208 27.745417 952.667725 49.03808   4620 0.66737 -0.11777 0.73535
 264 1571 1617 85.30875 27.847083 679.074402 45.71951   4541 0.67318 -0.11827 0.72996
 265 1552 1663 85.29292 27.885417 502.079041 66.87447   1159 0.67495 -0.11844 0.72830
 266 1552 1693 85.29292 27.910417 411.577515 26.56518   1045 0.67513 -0.11842 0.72813
 267 1590 1693 85.32458 27.910417 356.499664 40.95363   1061 0.67291 -0.11821 0.73022
 268 1590 1663 85.32458 27.885417 472.665741 67.45071   1109 0.67295 -0.11827 0.73017
 269 1628 1663 85.35625 27.885417 446.399200 81.02364   1130 0.67068 -0.11803 0.73229
 270 1628 1693 85.35625 27.910417 307.114044 43.81966   1102 0.67082 -0.11801 0.73217
 271 1666 1693 85.38792 27.910417 258.476685 38.21907   1084 0.66859 -0.11780 0.73424
 272 1666 1663 85.38792 27.885417 413.606384 71.16124   1133 0.66837 -0.11779 0.73444
 273 1628 1602 85.35625 27.834583 721.614990 48.45872   1084 0.66998 -0.11799 0.73295
 274 1628 1632 85.35625 27.859583 620.542480 28.74646   1114 0.66988 -0.11792 0.73304
 275 1666 1632 85.38792 27.859583 602.965881 42.29760   1083 0.66758 -0.11771 0.73518
 276 1666 1602 85.38792 27.834583 723.458435 47.18827   1141 0.66770 -0.11776 0.73506
 277 1705 1602 85.42042 27.834583 735.591370 55.89078   1172 0.66517 -0.11751 0.73739
 278 1705 1632 85.42042 27.859583 587.714172 66.20402   1109 0.66552 -0.11753 0.73707
 279 1743 1632 85.45208 27.859583 560.529480 69.01982   1097 0.66336 -0.11732 0.73905
 280 1743 1602 85.45208 27.834583 733.535034 64.05477   1145 0.66307 -0.11731 0.73931
 281 1705 1663 85.42042 27.885417 388.235687 70.86676   1100 0.66602 -0.11756 0.73661
 282 1705 1692 85.42042 27.909583 223.442856 51.25339   1131 0.66611 -0.11755 0.73653
 283 1743 1693 85.45208 27.910417 162.729553 79.77008   1086 0.66390 -0.11733 0.73856
 284 1743 1663 85.45208 27.885417 338.722565 71.25151   1166 0.66394 -0.11738 0.73852
 285 1781 1663 85.48375 27.885417 272.480194 76.97510   1098 0.66146 -0.11711 0.74078
 286 1781 1693 85.48375 27.910417 64.912735 56.10757   1106 0.66202 -0.11717 0.74028
 287 1819 1693 85.51542 27.910417 -12.113294 47.37333   1115 0.65929 -0.11686 0.74275
 288 1819 1663 85.51542 27.885417 188.907013 100.34880   1135 0.65860 -0.11678 0.74337
 289 1781 1602 85.48375 27.834583 724.688538 90.00239   1109 0.66036 -0.11699 0.74178
